Death Agency Number,URSUS Agency Name,Primary Name,Alternate URSUS Name,NCIC,ORI,Related County,Complaint Agency Name,gdrive_folder_name,Agency Website,CRP pra Agency name,MuckRock Agency ID,Agency Type (string),Post Name,Complaint Year,County,Complaint Type,Complaint Count,Alternate Name,resourceid,AGENCY_NAME
,,,,,CA0363900,,,,,,,,,,,,,,,SAN BERNARDINO CC PD
,,Fontana Unified School District Police Department,,3650,CA0365000,San Bernardino County,Fontana Unified School District PD,Fontana Unified School District Police Department,"{""url"": ""https://www.fusd.net/domain/245"", ""url_label"": """"}",Fontana Unified School District Police Department,19910.0,K-12,FONTANA UNIFIED SCHOOL DIST,,San Bernardino,,,,58d20fcd-2d81-4bc4-8be7-79153ed2a991,FONTANA USD PD
,,,,,CA0365200,,,,,,,,,,,,,,,REDLANDS FIRE DEPARTMENT
,,,,,CA0365700,,,,,,,,,,,,,,,PATTON STATE HOSPITAL
,,,,,CA036A100,,,,,,,,,,,,,,,APPLE VALLEY UNIFIED SCHOOL DISTRICT PD
,,San Diego County Sheriff,,3700,CA0370000,San Diego County,San Diego County Sheriff's Department,San Diego County Sheriff,"{""url"": ""https://www.sdsheriff.gov/"", ""url_label"": """"}",San Diego County Sheriff,368.0,Sheriff,SAN DIEGO CO SD,,San Diego,,,,2db446b1-723e-44bc-b944-bf606fc490f8,SAN DIEGO SD
,,Carlsbad Police Department,,3701,CA0370100,San Diego County,Carlsbad Police Department,Carlsbad Police Department,"{""url"": ""https://www.carlsbadca.gov/departments/police"", ""url_label"": """"}",Carlsbad Police Department,19837.0,Police Department,CARLSBAD PD,,San Diego,,,,c10a8830-eebb-46f2-9c04-dcf57275c397,CARLSBAD PD
,,San Diego County Probation Department,,6837,CA037013G,San Diego County,San Diego County Probation Department,San Diego County Probation Department,"{""url"": ""https://www.sandiegocounty.gov/content/sdc/probation.html"", ""url_label"": """"}",San Diego County Probation Department,6354.0,Probation Department,,,San Diego,,,,55115552-bce9-44fe-b67f-c4c8194d64fa,SAN DIEGO COUNTY PROBATION DEPARTMENT
,,Chula Vista Police Department,,3702,CA0370200,San Diego County,Chula Vista Police Department,Chula Vista Police Department,"{""url"": ""https://www.chulavistaca.gov/departments/police-department"", ""url_label"": """"}",Chula Vista Police Department,5237.0,Police Department,CHULA VISTA PD,,San Diego,,,,bfa28540-de08-4678-a4e2-6236e4e8c942,CHULA VISTA PD
,,Coronado Police Department,,3703,CA0370300,San Diego County,Coronado Police Department,Coronado Police Department,"{""url"": ""https://www.coronado.ca.us/166/Police"", ""url_label"": """"}",Coronado Police Department,19702.0,Police Department,CORONADO PD,,San Diego,,,,e7b4ebda-7508-47b2-8681-f56553332037,CORONADO PD
,,El Cajon Police Department,,3705,CA0370500,San Diego County,El Cajon Police Department,El Cajon Police Department,"{""url"": ""https://www.elcajon.gov/your-government/departments/police"", ""url_label"": """"}",El Cajon Police Department,9073.0,Police Department,EL CAJON PD,,San Diego,,,,26343752-f4f5-494f-aa99-d4409353b600,EL CAJON PD
,,Escondido Police Department,,3706,CA0370600,San Diego County,Escondido Police Department,Escondido Police Department,"{""url"": ""https://www.escondido.gov/172/Police"", ""url_label"": """"}",Escondido Police Department,7730.0,Police Department,ESCONDIDO PD,,San Diego,,,,ea2d8957-8d45-4bcb-8f60-57b6d2794fba,ESCONDIDO PD
,,La Mesa Police Department,,3708,CA0370800,Orange County,La Mesa Police Department,La Mesa Police Department,"{""url"": ""https://www.cityoflamesa.us/1611/Police-Department"", ""url_label"": """"}",La Mesa Police Department,4195.0,Police Department,LA MESA PD,,Orange,,,,a57c2a3d-18d4-441c-9477-6bfeca09ff7c,LA MESA PD
,,National City Police Department,,3709,CA0370900,San Diego County,National City Police Department,National City Police Department,"{""url"": ""https://www.nationalcityca.gov/government/police"", ""url_label"": """"}",National City Police Department,19344.0,Police Department,NATIONAL CITY PD,,San Diego,,,,dfb4454b-e077-4149-9160-6a40a2e82eed,NATIONAL CITY PD
,,Oceanside Police Department,,3710,CA0371000,San Diego County,Oceanside Police Department,Oceanside Police Department,"{""url"": ""https://www.oceansidepolice.com/home-police"", ""url_label"": """"}",Oceanside Police Department,19822.0,Police Department,OCEANSIDE PD,,San Diego,,,,fc78cc4a-f7a1-46b4-b0e7-d6b65f976b9c,OCEANSIDE PD
,,San Diego Police Department,,3711,CA0371100,San Diego County,San Diego Police Department,San Diego Police Department,"{""url"": ""https://www.sandiego.gov/police"", ""url_label"": """"}",San Diego Police Department,636.0,Police Department,SAN DIEGO PD,2019-01,San Diego,Race Ethnicity Sustained,5,,fe3da89c-f40f-4f79-8b0a-8008fcb7b82c,SAN DIEGO PD
,,CSU San Diego Police Department,,3714,CA0371400,San Diego County,"CSU San Diego, University Police",CSU San Diego Police Department,"{""url"": ""https://police.sdsu.edu/"", ""url_label"": """"}",CSU San Diego Police Department,19784.0,CSU,CSU SAN DIEGO PD,,San Diego,,,,5974dc9d-9cd5-474c-a49f-e66a79ca83f8,CSU SAN DIEGO
,,,,,CA0371500,,,,,,,,,,,,,,,PORT OF SAN DIEGO HARBOR PD
,,,,,CA0372800,,,,,,,,,,,,,,,SAN DIEGO COMMUNITY COLLEGE DISTRICT PD
,,CSU San Marcos Police Department,,3732,CA0373200,San Diego County,"CSU San Marcos PD, University Police",CSU San Marcos Police Department,"{""url"": ""https://www.csusm.edu/police/index.html"", ""url_label"": """"}",CSU San Marcos Police Department,19787.0,CSU,"CSU SAN MARCOS DPS, CSU SAN MARCOS PD",,San Diego,,,,35128f37-6265-4147-935d-9a15e994e047,CSU SAN MARCOS
,,UC San Diego Police Department,,3797,CA0379700,San Diego County,"UC San Diego, Univerisity Police",UC San Diego Police Department,"{""url"": ""https://police.ucsd.edu/"", ""url_label"": """"}",UC San Diego Police Department,19834.0,UC,UC SAN DIEGO PD,,San Diego,,,,95eb3645-8d2e-4de8-8b52-003d0d29c92a,UC SAN DIEGO
,,Mira Costa College Police Department,,6642,CA037A600,San Diego County,Mira Costa Community College PD,Mira Costa College Police Department,"{""url"": ""https://www.miracosta.edu/administrative/college-police/"", ""url_label"": """"}",Mira Costa College Police Department,19902.0,Community College,MIRA COSTA CCD PD,,San Diego,,,,35945371-e7ea-4c7b-95fa-704333a7649d,MIRA COSTA COLLEGE PD
,,Palomar Community College District Police Department,,,CA037A700,San Diego County,,Palomar Community College District Police Department,"{""url"": ""https://www.palomar.edu/police/"", ""url_label"": """"}",Palomar Community College District Police Department,19824.0,Community College,PALOMAR CCD PD,,San Diego,,,,56ab127a-5ff2-4678-9782-256d6c206348,PALOMAR COLLEGE PD
,,San Francisco County Sheriff,,3800,CA0380000,San Francisco County,San Francisco County Sheriff's Department,San Francisco County Sheriff,"{""url"": ""https://sfsheriff.com/"", ""url_label"": """"}",San Francisco County Sheriff,5169.0,Sheriff,"SAN FRANCISCO CO SD, SAN FRANCISCO CO SO","2023-01, 2019-01",San Francisco,"Race Ethnicity Sustained, Gender Sustained","1, 1",,b97ffcdb-3230-4e27-80d4-a87b33b5fa22,SAN FRANCISCO SD
,,San Francisco Police Department,,3801,CA0380100,San Francisco County,San Francisco Police Department,San Francisco Police Department,"{""url"": ""https://www.sanfranciscopolice.org/"", ""url_label"": """"}",San Francisco Police Department,367.0,Police Department,SAN FRANCISCO PD,"2023-01, 2022-01, 2021-01, 2021-01, 2021-01, 2020-01, 2020-01, 2018-01, 2017-01, 2016-01, 2016-01, 2016-01, 2016-01",San Francisco,"Race Ethnicity Sustained, Race Ethnicity Sustained, Race Ethnicity Sustained, Gender Sustained, Sexual Orientation Sustained, Race Ethnicity Sustained, Physical Disability Sustained, Race Ethnicity Sustained, Race Ethnicity Sustained, Race Ethnicity Sustained, Gender Sustained, Sexual Orientation Sustained, Physical Disability Sustained","1, 1, 1, 1, 1, 4, 2, 1, 1, 1, 1, 1, 2",,e4f86da6-0753-4d60-91ef-0281d155b9d3,SAN FRANCISCO PD
,,,,,CA038013G,,,,,,,,,,,,,,,SAN FRANCISCO ADULT PROBATION DEPARTMENT
,,San Francisco Juvenile Probation Department,,6839,CA038023G,San Francisco County,San Francisco Juvenile Probation,San Francisco Juvenile Probation Department,"{""url"": ""https://www.sf.gov/departments/juvenile-probation-department"", ""url_label"": """"}",San Francisco County Juvenile Probation Department,19944.0,Probation Department,,,San Francisco,,,,4700967f-b831-4691-a9ef-3592b76ff706,SAN FRANCISCO JUVENILE PROBATION DEPARTMENT
,,CSU San Francisco Police Department,,3803,CA0380300,San Francisco County,"CSU San Francisco, University Police",CSU San Francisco Police Department,"{""url"": ""https://upd.sfsu.edu/"", ""url_label"": """"}",CSU San Francisco Police Department,19785.0,CSU,CSU SAN FRANCISCO PD,,San Francisco,,,,bf823c27-6787-4359-8e8f-900a8bd12da4,SAN FRANCISCO STATE UNIVERSITY PD
,,San Francisco Community College Police Department,,6610,CA0381700,San Francisco County,San Francisco Community College PD,San Francisco Community College Police Department,"{""url"": ""https://www.ccsf.edu/campus-police"", ""url_label"": """"}",San Francisco Community College Police Department,19801.0,Community College,SAN FRANCISCO CCD PD,,San Francisco,,,,bcd56fb4-9cb3-4602-a93b-7c6ce661d9b9,SAN FRANCISCO COMMUNITY COLLEGE PD
,,UC San Francisco Police Department,,3897,CA0389700,San Francisco County,"UC San Francisco, University Police",UC San Francisco Police Department,"{""url"": ""https://police.ucsf.edu/"", ""url_label"": """"}",UC San Francisco Police Department,19810.0,UC,UC SAN FRANCISCO PD,,San Francisco,,,,83078eea-7ac4-4b6f-83e3-2a91e3fc5896,UC SAN FRANCISCO
,,San Joaquin County Sheriff,,3900,CA0390000,San Joaquin County,San Joaquin County Sheriff's Department,San Joaquin County Sheriff,"{""url"": ""https://sjsheriff.org/"", ""url_label"": """"}",San Joaquin County Sheriff,5370.0,Sheriff,"SAN JOAQUIN CO SD, SAN JOAQUIN CO SO",,San Joaquin,,,,086af0db-00be-495d-b6f2-b255ebd57944,SAN JOAQUIN SD
,,Escalon Police Department,,3901,CA0390100,San Joaquin County,Escalon Police Department,Escalon Police Department,"{""url"": ""https://www.cityofescalon.org/government/departments/police"", ""url_label"": """"}",Escalon Police Department,19453.0,Police Department,ESCALON PD,,San Joaquin,,,,bee382dd-206f-402d-9656-a5f484d2e55c,ESCALON PD
,,,,,CA039013G,,,,,,,,,,,,,,,SAN JOAQUIN COUNTY PROBATION DEPARTMENT
,,Lodi Police Department,,3902,CA0390200,San Joaquin County,Lodi Police Department,Lodi Police Department,"{""url"": ""https://www.lodi.gov/215/Police"", ""url_label"": """"}",Lodi Police Department,10040.0,Police Department,LODI PD,,San Joaquin,,,,4053c401-baa8-43b9-834b-db0ef06de6da,LODI PD
,,San Joaquin County District Attorney,,6339,CA039023A,San Joaquin County,San Joaquin Co. District Attorney,San Joaquin County District Attorney,"{""url"": ""https://www.sjgov.org/department/da/home"", ""url_label"": """"}",San Joaquin County District Attorney,18101.0,District Attorney,SAN JOAQUIN CO DA,,San Joaquin,,,,42367f02-a4d2-4343-950a-d9aac3edc900,SAN JOAQUIN COUNTY DA-INVESTIGATIONS BUREAU
,,Manteca Police Department,,3903,CA0390300,San Joaquin County,Manteca Police Department,Manteca Police Department,"{""url"": ""https://www.manteca.gov/departments/police-department"", ""url_label"": """"}",Manteca Police Department,12056.0,Police Department,MANTECA PD,,San Joaquin,,,,670688b9-8231-463e-9799-6d94eca85f44,MANTECA PD
,,Ripon Police Department,,3904,CA0390400,San Joaquin County,Ripon Police Department,Ripon Police Department,"{""url"": ""https://www.cityofripon.org/536/Police-Department"", ""url_label"": """"}",Ripon Police Department,19535.0,Police Department,RIPON PD,,San Joaquin,,,,20f08c16-10bf-4df7-8495-fc979f6c5bf8,RIPON PD
,,Stockton Police Department,,3905,CA0390500,San Joaquin County,Stockton Police Department,Stockton Police Department,"{""url"": ""https://www.stocktonca.gov/services/police_department/index.php"", ""url_label"": """"}",Stockton Police Department,5229.0,Police Department,STOCKTON PD,,San Joaquin,,,,1403977f-b0da-42fd-904d-9afdcb65ff40,STOCKTON PD
,,Tracy Police Department,,3906,CA0390600,San Joaquin County,Tracy Police Department,Tracy Police Department,"{""url"": ""https://tracypd.com/"", ""url_label"": """"}",Tracy Police Department,18832.0,Police Department,TRACY PD,,San Joaquin,,,,79e14e26-7642-44c0-99a5-8c6ceebd9c84,TRACY PD
,,San Joaquin Delta Community College District Police Department,,,CA0390800,San Joaquin County,San Joaquin Delta College,San Joaquin Delta Community College District Police Department,"{""url"": ""https://deltacollege.edu/department/district-police-department"", ""url_label"": """"}",San Joaquin Delta Community College District Police Department,19877.0,Community College,SAN JOAQUIN DELTA COLLEGE PD,,San Joaquin,,,,ed0e766a-9bb0-42e6-b8fe-1e04cced7137,SAN JOAQUIN DELTA COLLEGE PD
,,Stockton Unified School District Police Department,,3915,CA0391500,San Joaquin County,Stockton Unified School District,Stockton Unified School District Police Department,"{""url"": ""https://www.stocktonusd.net/domain/154"", ""url_label"": """"}",Stockton Unified School District Police Department,7754.0,K-12,"STOCKTON UNIF SCHL DIST PD, STOCKTON USD DEPT PUB SAFETY",,San Joaquin,,,,0f3d1a94-2ce5-457e-a999-293292f93208,STOCKTON USD PD
,,,,,CA0392400,,,,,,,,,,,,,,,LATHROP PD
,,San Luis Obispo County Sheriff,,4000,CA0400000,San Luis Obispo County,San Luis Obispo County Sheriff's Department,San Luis Obispo County Sheriff,"{""url"": ""https://www.slocounty.ca.gov/departments/sheriff-coroner/contact-the-sheriff-s-office"", ""url_label"": """"}",San Luis Obispo County Sheriff,6601.0,Sheriff,"SAN LUIS OBISPO CO SD, SAN LUIS OBISPO CO SO",,San Luis Obispo,,,,1db87913-4879-4390-ab2b-f2d6244c4b7a,SAN LUIS OBISPO SD
,,Arroyo Grande Police Department,,4001,CA0400100,San Luis Obispo County,Arroyo Grande Police Department,Arroyo Grande Police Department,"{""url"": ""https://www.agpd.org/"", ""url_label"": """"}",Arroyo Grande Police Department,5391.0,Police Department,ARROYO GRANDE PD,,San Luis Obispo,,,,34b1e3ca-d5ff-4002-bcc6-f713e2bfe4b1,ARROYO GRANDE PD
,,San Luis Obispo County District Attorney,,6340,CA040013A,San Luis Obispo County,San Luis Obispo Co Dist. Attorney,San Luis Obispo County Sheriff,"{""url"": ""https://www.slocounty.ca.gov/departments/district-attorney"", ""url_label"": """"}",San Luis Obispo County District Attorney,6601.0,District Attorney,SAN LUIS OBISPO CO DA,,San Luis Obispo,,,,1995d3f8-3c4e-4054-a96e-f66cc5dfe91f,SAN LUIS OBISPO COUNTY DISTRICT ATTORNEYS OFFICE
,,,,,CA040013G,,,,,,,,,,,,,,,SAN LUIS OBISPO COUNTY PROBATION DEPARTMENT
,,,,,CA040015M,,,,,,,,,,,,,,,ATASCADERO STATE HOSPITAL
,,Grover Beach Police Department,,4002,CA0400200,San Luis Obispo County,Grover Beach Police Department,Grover Beach Police Department,"{""url"": ""https://www.grover.org/643/Police-Department"", ""url_label"": """"}",Grover Beach Police Department,19717.0,Police Department,GROVER BEACH PD,,San Luis Obispo,,,,cbf113b4-42f9-45c4-8571-4fd1afbc192b,GROVER BEACH PD
,,Morro Bay Police Department,,4003,CA0400300,San Luis Obispo County,Morro Bay Police Department,Morro Bay Police Department,"{""url"": ""https://www.morrobayca.gov/128/Police"", ""url_label"": """"}",Morro Bay Police Department,19663.0,Police Department,MORRO BAY PD,,San Luis Obispo,,,,3e37a4d5-b1e6-4796-a39a-b8d89be64fa1,MORRO BAY PD
,,Paso Robles Police Department,,4004,CA0400400,San Luis Obispo County,Paso Robles Police Department,Paso Robles Police Department,"{""url"": ""https://www.prcity.com/252/Police-Department"", ""url_label"": """"}",Paso Robles Police Department,19724.0,Police Department,PASO ROBLES PD,,San Luis Obispo,,,,b8116203-7536-4982-a124-d028a160675f,PASO ROBLES PD
,,Pismo Beach Police Department,,4005,CA0400500,San Luis Obispo County,Pismo Beach Police Department,Pismo Beach Police Department,"{""url"": ""https://www.pismobeach.org/71/Police"", ""url_label"": """"}",Pismo Beach Police Department,19712.0,Police Department,PISMO BEACH PD,,San Luis Obispo,,,,df647f2b-ccac-4540-bfd8-fec243bcb554,PISMO BEACH PD
,,San Luis Obispo Police Department,,4006,CA0400600,San Luis Obispo County,San Luis Obispo Police Department,San Luis Obispo Police Department,"{""url"": ""https://www.slocity.org/government/department-directory/police-department"", ""url_label"": """"}",San Luis Obispo Police Department,5490.0,Police Department,SAN LUIS OBISPO PD,,San Luis Obispo,,,,be05a835-7c9e-47ce-aa64-d5d45fb4b19d,SAN LUIS OBISPO PD
,,CSU San Luis Obispo Police Department,,4007,CA0400700,San Luis Obispo County,"Cal Poly San Luis Obispo, Univeristy Police","California Polytechnic State University, San Luis Obispo Police Department","{""url"": ""https://afd.calpoly.edu/police/"", ""url_label"": """"}",CSU San Luis Obispo Police Department,19926.0,CSU,CPSU SAN LUIS OBISPO PD,,San Luis Obispo,,,,a10c215a-d1b0-4a41-9307-7e6e8975d359,CAL POLY-SAN LUIS OBISPO
,,Atascadero Police Department,,4008,CA0400800,San Luis Obispo County,Atascadero Police Department,Atascadero Police Department,"{""url"": ""https://www.atascadero.org/department/police-department"", ""url_label"": """"}",Atascadero Police Department,19718.0,Police Department,ATASCADERO PD,,San Luis Obispo,,,,bbd43664-6e90-4c2d-a048-f7b557b3198f,ATASCADERO PD
,,Cuesta Community College District Department of Public Safety,,4019,CA0401900,San Luis Obispo County,Cuesta College PD,Cuesta Community College District Department of Public Safety,"{""url"": ""https://www.cuesta.edu/about/depts/publicsafety/index.html"", ""url_label"": """"}",Cuesta Community College District Department of Public Safety,19815.0,Community College,"CUESTA CCD DPS, CUESTA CC PD",,San Luis Obispo,,,,8850788c-92bb-4f89-9867-7f1fe8782526,CUESTA COLLEGE PD
,,San Mateo County Sheriff,,4100,CA0410000,San Mateo County,San Mateo County Sheriff's Department,San Mateo County Sheriff,"{""url"": ""https://www.smcsheriff.com/"", ""url_label"": """"}",San Mateo County Sheriff,19551.0,Sheriff,"SAN MATEO CO SD, SAN MATEO CO SHERIFF'S OFFICE",,San Mateo,,,,947af816-6b09-43fe-aec3-1b9801c91bd5,SAN MATEO SD
,,Atherton Police Department,,4101,CA0410100,San Mateo County,Atherton Police Department,Atherton Police Department,"{""url"": ""https://www.ci.atherton.ca.us/635/Police-Department"", ""url_label"": """"}",Atherton Police Department,19686.0,Police Department,ATHERTON PD,,San Mateo,,,,b4fd9376-e20f-4c0d-8a34-1f0ab5e5518c,ATHERTON PD
,,San Mateo County District Attorney,,6341,CA041013A,San Mateo County,San Mateo County District Attorney,San Mateo County District Attorney,"{""url"": ""https://www.smcgov.org/da"", ""url_label"": """"}",San Mateo County District Attorney,18062.0,District Attorney,SAN MATEO CO DA,,San Mateo,,,,008632d0-4ce6-483a-91df-ccd0c85fa300,SAN MATEO CO DISTRICT ATTORNEYS OFFICE
,,San Mateo County Probation Department,,6842,CA041013G,San Mateo County,"San Mateo Co. Prob. Department, CPO",San Mateo County Probation,"{""url"": ""https://www.smcgov.org/probation"", ""url_label"": """"}",San Mateo County Probation Department,19880.0,Probation Department,,,San Mateo,,,,dd80d046-7595-4c33-b581-56c69660e01b,SAN MATEO CO PROBATION DEPARTMENT
,,Belmont Police Department,,4102,CA0410200,San Mateo County,Belmont Police Department,Belmont Police Department,"{""url"": ""https://www.belmont.gov/departments/police"", ""url_label"": """"}",Belmont Police Department,19509.0,Police Department,BELMONT PD,,San Mateo,,,,58e63b23-a2c5-40de-a6c2-03eb720e9d0c,BELMONT PD
,,Brisbane Police Department,,4103,CA0410300,San Mateo County,Brisbane Police Department,Brisbane Police Department,"{""url"": ""https://www.brisbaneca.org/police"", ""url_label"": """"}",Brisbane Police Department,19539.0,Police Department,BRISBANE PD,,San Mateo,,,,5ee51a3e-f4f9-46d0-b291-999683e66f75,BRISBANE PD
,,Burlingame Police Department,,4104,CA0410400,San Mateo County,Burlingame Police Department,Burlingame Police Department,"{""url"": ""https://www.burlingame.org/516/Police"", ""url_label"": """"}",Burlingame Police Department,5392.0,Police Department,BURLINGAME PD,,San Mateo,,,,6ee8a9fa-32ee-4277-a7f3-311b16b97aba,BURLINGAME PD
,,Colma Police Department,,4105,CA0410500,San Mateo County,Colma Police Department,Colma Police Department,"{""url"": ""https://www.colma.ca.gov/departments/police/"", ""url_label"": """"}",Colma Police Department,19679.0,Police Department,COLMA PD,,San Mateo,,,,b450ebcf-0b79-45b5-8c0a-fa0f82af35c6,COLMA PD
,,Daly City Police Department,,4106,CA0410600,San Mateo County,Daly City Police Department,Daly City Police Department,"{""url"": ""https://www.dalycity.org/180/Police"", ""url_label"": """"}",Daly City Police Department,9067.0,Police Department,DALY CITY PD,2021-01,San Mateo,Race Ethnicity Sustained,1,,ffc206d4-9362-4d6f-9d84-02a27611f3f4,DALY CITY PD
,,Hillsborough Police Department,,4108,CA0410800,San Mateo County,Hillsborough Polic Department,Hillsborough Police Department,"{""url"": ""https://www.hillsborough.net/231/Police"", ""url_label"": """"}",Hillsborough Police Department,19630.0,Police Department,HILLSBOROUGH PD,,San Mateo,,,,d90bff9c-e965-4677-b28e-2cb5c0abe4fe,HILLSBOROUGH PD
,,Menlo Park Police Department,,4109,CA0410900,San Mateo County,Menlo Park Police Department,Menlo Park Police Department,"{""url"": ""https://menlopark.gov/Government/Departments/Police"", ""url_label"": """"}",Menlo Park Police Department,7504.0,Police Department,MENLO PARK PD,,San Mateo,,,,a1fa67d8-7fa0-4bb3-b2c6-fd3af93f067b,MENLO PARK PD
,,Pacifica Police Department,,4111,CA0411100,San Mateo County,Pacifica Police Department,Pacifica Police Department,"{""url"": ""https://www.cityofpacifica.org/departments/police"", ""url_label"": """"}",Pacifica Police Department,16163.0,Police Department,PACIFICA PD,,San Mateo,,,,93e576d7-cffc-48a2-aa50-a66d2c77781c,PACIFICA PD
,,Redwood City Police Department,,4113,CA0411300,San Mateo County,Redwood City Police Department,Redwood City Police Department,"{""url"": ""https://www.redwoodcity.org/departments/police-department"", ""url_label"": """"}",Redwood City Police Department,7485.0,Police Department,REDWOOD CITY PD,,San Mateo,,,,2accab91-e535-4ee9-9651-22f499089019,REDWOOD CITY PD
,,San Bruno Police Department,,4114,CA0411400,San Mateo County,San Bruno Police Department,San Bruno Police Department,"{""url"": ""https://www.sanbruno.ca.gov/472/Police"", ""url_label"": """"}",San Bruno Police Department,12177.0,Police Department,SAN BRUNO PD,,San Mateo,,,,c6addf0f-9aa0-4d4e-8da2-2e01d02efaf1,SAN BRUNO PD
,,San Mateo Police Department,,4116,CA0411600,San Mateo County,San Mateo Police Department,San Mateo Police Department,"{""url"": ""https://www.cityofsanmateo.org/273/Police"", ""url_label"": """"}",San Mateo Police Department,7497.0,Police Department,SAN MATEO PD,,San Mateo,,,,666b3d52-7f27-42e5-be5b-f1a9c6f9d5d2,SAN MATEO PD
,,South San Francisco Police Department,,4117,CA0411700,San Mateo County,South San Francisco,South San Francisco Police Department,"{""url"": ""https://www.ssf.net/Departments/Police-Department"", ""url_label"": """"}",South San Francisco Police Department,6782.0,Police Department,SOUTH SAN FRANCISCO PD,,San Mateo,,,,e75c830f-85f3-4d81-94d4-bda7e196e6fb,SOUTH SAN FRANCISCO PD
,,Broadmoor Police Department,,4119,CA0411900,San Mateo County,Broadmoor Police Department,Broadmoor Police Protection District,"{""url"": ""https://www.broadmoorpolice.com/"", ""url_label"": """"}",Broadmoor Police Protection District,19920.0,Special District,BROADMOOR PD,,San Mateo,,,,3178ad2d-cced-4b8c-8faf-d147f4e3c2ed,BROADMOOR PD
,,Foster City Police Department,,4120,CA0412000,San Mateo County,Foster City Police Department,Foster City Police Department,"{""url"": ""https://www.fostercity.org/police"", ""url_label"": """"}",Foster City Police Department,18230.0,Police Department,FOSTER CITY PD,,San Mateo,,,,544ae11e-86d5-4790-b188-21b8d9936676,FOSTER CITY PD
,,,,,CA0412700,,,,,,,,,,,,,,,EAST PALO ALTO PD
,,Santa Barbara County Sheriff,,4200,CA0420000,Santa Barbara County,Santa Barbara County Sheriff's Department,Santa Barbara County Sheriff,"{""url"": ""https://www.sbsheriff.org/"", ""url_label"": """"}",Santa Barbara County Sheriff,5378.0,Sheriff,"SANTA BARBARA CO SD, SANTA BARBARA CO SO",2018-01,Santa Barbara,Gender Identity Expression Sustained,1,,c2ab3308-7255-4e8a-b46d-6f1b8612c129,SANTA BARBARA SD
,,Guadalupe Police Department,,4201,CA0420100,Santa Barbara County,Guadalupe Police Department,Guadalupe Police Department,"{""url"": ""https://cityofguadalupe.org/police/"", ""url_label"": """"}",Guadalupe Police Department,19716.0,Police Department,GUADALUPE PD,,Santa Barbara,,,,a7ff37b7-e895-4ebe-83d3-dd0d9b33f858,GUADALUPE PD
,,Santa Barbara County District Attorney,,6342,CA042013A,Santa Barbara County,Santa Barbara County District Attorney,Santa Barbara District Attorney,"{""url"": ""https://da.countyofsb.org/"", ""url_label"": """"}",Santa Barbara County District Attorney,18103.0,District Attorney,SANTA BARBARA CO DA,,Santa Barbara,,,,4030ed2a-3c4e-414b-aae9-7c4150811e11,SANTA BARBARA CO DISTRICT ATTORNEYS OFFICE
,,,,,CA042013G,,,,,,,,,,,,,,,SANTA BARBARA CO PROBATION DEPARTMENT
,,Lompoc Police Department,,4202,CA0420200,Santa Barbara County,Lompoc Police Department,Lompoc Police Department,"{""url"": ""https://www.cityoflompoc.com/government/departments/police"", ""url_label"": """"}",Lompoc Police Department,16842.0,Police Department,LOMPOC PD,,Santa Barbara,,,,08ada1ef-24be-4b0d-a254-2d1eae411c0b,LOMPOC PD
,,Santa Barbara Police Department,,4203,CA0420300,Santa Barbara County,Santa Barbara Police Department,Santa Barbara Police Department,"{""url"": ""https://santabarbaraca.gov/government/departments/santa-barbara-police-department"", ""url_label"": """"}",Santa Barbara Police Department,9017.0,Police Department,SANTA BARBARA PD,,Santa Barbara,,,,5cd786ab-95bc-44a9-91d9-33de884fe80f,SANTA BARBARA PD
,,Santa Maria Police Department,,4204,CA0420400,Santa Barbara County,Santa Maria Police Department,Santa Maria Police Department,"{""url"": ""https://www.cityofsantamaria.org/services/departments/police-department"", ""url_label"": """"}",Santa Maria Police Department,9627.0,Police Department,SANTA MARIA PD,,Santa Barbara,,,,ced5503b-d42a-433c-9e2e-4ce71427561d,SANTA MARIA PD
,,Allan Hancock Community College Police Department,,4211,CA0421100,Santa Barbara County,Allan Hancock College PD,Allan Hancock Community College Police Department,"{""url"": ""https://www.hancockcollege.edu/police/index.php"", ""url_label"": """"}",Allan Hancock Community College Police Department,19948.0,Community College,ALLAN HANCOCK CCD PD,,Santa Barbara,,,,41546ada-a766-405a-a6ad-5643e2c71119,ALLAN HANCOCK COLLEGE PD
,,UC Santa Barbara Police Department,,4297,CA0429700,Santa Barbara County,"UC Santa Barbara, University Police",UC Santa Barbara,"{""url"": ""https://www.police.ucsb.edu/"", ""url_label"": """"}",UC Santa Barbara Police Department,19901.0,UC,UC SANTA BARBARA PD,,Santa Barbara,,,,721886a0-47b6-4981-9687-7124ba655d6c,UC SANTA BARBARA
,,Santa Clara County Sheriff,,4300,CA0430000,Santa Clara County,Santa Clara County Sheriff's Department,Santa Clara County Sheriff,"{""url"": ""https://sheriff.santaclaracounty.gov/home"", ""url_label"": """"}",Santa Clara County Sheriff,6990.0,Sheriff,"SANTA CLARA CO SD, SANTA CLARA CO SO","2023-01, 2021-01, 2020-01",Santa Clara,"Race Ethnicity Sustained, Sexual Orientation Sustained, Gender Identity Expression Sustained","1, 1, 1",,f545f25e-c6d9-4dc3-bcbb-56a423600b31,SANTA CLARA SD
